"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted","date"
"1",112.339996,112.349998,109,109.980003,9670400,83.474052,"2011-05-11"
"2",109.199997,109.610001,107,108.629997,9274800,82.449425,"2011-05-12"
"3",109.470001,109.599998,106.019997,106.330002,9250400,80.703758,"2011-05-13"
"4",105.870003,108.269997,105.07,106.089996,8290800,80.521591,"2011-05-16"
"5",105.080002,105.230003,101.470001,102.080002,19186700,77.478012,"2011-05-17"
"6",102.849998,105.5,101.779999,105.25,9472200,79.884026,"2011-05-18"
"7",106.610001,106.870003,104.910004,105.300003,8613400,79.921982,"2011-05-19"
"8",105.239998,105.5,103.599998,104.330002,8656800,79.18576,"2011-05-20"
"9",101.309998,102.510002,100.370003,101.889999,10095100,77.333824,"2011-05-23"
"10",102.370003,102.949997,101.07,101.550003,7273300,77.075768,"2011-05-24"
"11",101.029999,103.93,100.779999,103.25,6193100,78.366058,"2011-05-25"
"12",103.07,104.68,102.029999,104.190002,6640000,79.079475,"2011-05-26"
"13",104.720001,105.360001,104.269997,104.599998,4511300,79.390694,"2011-05-27"
"14",106.410004,106.599998,104.309998,105.800003,6641900,80.301506,"2011-05-31"
"15",104.970001,105.480003,101,101.239998,10597600,76.840469,"2011-06-01"
"16",101.82,103.720001,101.309998,102.190002,9125300,77.561516,"2011-06-02"
"17",100.489998,102.489998,99.150002,101.099998,9508600,76.73423,"2011-06-03"
"18",100.25,101.610001,99.470001,99.860001,8092800,75.79306,"2011-06-06"
"19",101.239998,101.349998,99.809998,99.879997,6772200,75.808228,"2011-06-07"
"20",99.209999,99.860001,97.769997,98.040001,9761100,74.411705,"2011-06-08"
"21",98.290001,99.709999,98.220001,99.260002,6167600,75.337692,"2011-06-09"
"22",98.800003,98.900002,96.419998,96.790001,9603600,73.462952,"2011-06-10"
"23",96.93,97.529999,94.720001,95.440002,9767400,72.438293,"2011-06-13"
"24",96.849998,98.449997,96.129997,97.860001,8479700,74.27507,"2011-06-14"
"25",96.580002,97.360001,95.510002,95.650002,8143600,72.59771,"2011-06-15"
"26",95.389999,96.860001,94.209999,95.459999,8886500,72.453484,"2011-06-16"
"27",96.459999,96.940002,95.309998,95.949997,8314800,72.825394,"2011-06-17"
"28",96.489998,98.370003,96.050003,98.18,7484700,74.517952,"2011-06-20"
"29",99.419998,101.959999,99.059998,101.389999,9638100,76.954308,"2011-06-21"
"30",101.169998,102.5,100.07,100.150002,7445100,76.013168,"2011-06-22"
"31",97.900002,100.650002,96.949997,100.550003,10640900,76.31675,"2011-06-23"
"32",101.050003,101.099998,99.440002,100.010002,8496400,75.906906,"2011-06-24"
"33",99.959999,101.5,99.07,100.800003,5614400,76.5065,"2011-06-27"
"34",101.440002,104.07,101.400002,103.839996,7884300,78.813843,"2011-06-28"
"35",104.449997,104.489998,102.400002,103.360001,8642000,78.449539,"2011-06-29"
"36",103.360001,106.93,103.32,106.459999,10598400,80.802406,"2011-06-30"
"37",106.150002,109.169998,105.75,108.620003,9153800,82.441833,"2011-07-01"
"38",107.919998,108.779999,107.339996,108.43,6880200,82.297638,"2011-07-05"
"39",108.110001,110.120003,108.080002,110.080002,6933200,83.549995,"2011-07-06"
"40",111.57,112.650002,111.25,111.629997,7403800,84.726402,"2011-07-07"
"41",108.519997,110.410004,107.800003,110.410004,8293100,83.800468,"2011-07-08"
"42",108.410004,109.480003,107.25,108.160004,7568600,82.092712,"2011-07-11"
"43",107.629997,108.459999,106.669998,106.93,7892700,81.159142,"2011-07-12"
"44",108.480003,110.419998,108.339996,108.639999,6819200,82.457001,"2011-07-13"
"45",108.830002,110.5,107,107.580002,7394300,81.652481,"2011-07-14"
"46",108.769997,109.360001,107.139999,109.360001,6660700,83.003502,"2011-07-15"
"47",108.459999,108.470001,106.160004,107.800003,6878600,82.165085,"2011-07-18"
"48",108.889999,109.970001,108.199997,109.639999,6674600,83.567528,"2011-07-19"
"49",110.709999,110.980003,109.610001,110.309998,5761600,84.078201,"2011-07-20"
"50",111.050003,112.43,110.120003,111.599998,9340700,85.06144,"2011-07-21"
"51",104.620003,106.480003,103,105.150002,25775600,80.145256,"2011-07-22"
"52",104.160004,106.300003,103.800003,105.660004,8662500,80.533981,"2011-07-25"
"53",105.910004,106,104.699997,105.199997,7155500,80.183357,"2011-07-26"
"54",104.43,104.610001,101,101.339996,10684500,77.241272,"2011-07-27"
"55",101.510002,102.089996,99.449997,99.639999,9438000,75.945526,"2011-07-28"
"56",98.32,99.970001,97.279999,98.790001,12283000,75.297661,"2011-07-29"
"57",102.43,102.82,98.800003,100.720001,12865200,76.7687,"2011-08-01"
"58",99.550003,101.550003,97.120003,97.18,12058300,74.070518,"2011-08-02"
"59",97.919998,98.290001,93.540001,96.279999,16922200,73.384529,"2011-08-03"
"60",94.400002,94.709999,89.5,89.550003,18655000,68.254951,"2011-08-04"
"61",92.129997,92.5,86.480003,90.989998,22791500,69.352516,"2011-08-05"
"62",86.230003,88.160004,82.25,82.599998,21293000,62.957642,"2011-08-08"
"63",85.400002,87.599998,80.839996,87.480003,20473600,66.677193,"2011-08-09"
"64",86.720001,87.199997,83.389999,83.510002,15335900,63.651257,"2011-08-10"
