"","Trade Time","Last","Change","% Change","Open","High","Low","Volume"
"ASIX",2020-04-09 16:02:00,11.64,-0.0899992,-0.7672566,12.1,12.34,11.21,344406
"BAK",2020-04-09 16:02:00,6.52,0.05000019,0.7728005,6.49,6.85,6.28,191150
"CBT",2020-04-09 16:02:00,30.63,1.3999996,4.7895985,29.89,31.5099,29.72,397676
"CINR",2020-04-09 16:02:00,11.81,1.29,12.262356,10.87,12,10.56,19541
"CMT",2020-04-09 15:59:30,1.14,0.06999993,6.5420494,1.15,1.25,1.14,34944
"DOW",2020-04-09 16:02:00,36.56,1.7700005,5.08767,35.75,37.74,35.54,9892280
"FFHL",2020-04-09 15:55:23,2.03,0.19999993,10.928958,1.9442,2.06,1.93,8359
"GURE",2020-04-09 16:00:02,3.475,0.024999857,0.7246335,3.42,3.475,3.04,12622
"HWKN",2020-04-09 16:00:01,35.39,1.579998,4.6731677,34.33,35.4,33.69,42228
"KOP",2020-04-09 16:02:00,13.83,0.019999504,0.14481899,13.9,15.4999,13.31,399317
"KRO",2020-04-09 16:02:00,9.48,0.55999947,6.278021,9.08,9.63,8.93,425629
"LOOP",2020-04-09 16:00:02,7.5,0.3699999,5.189339,7.16,7.5,6.81,53709
"LYB",2020-04-09 16:02:00,58.93,3.459999,6.237604,56.56,59.97,55.66,3735159
"MEOH",2020-04-09 16:00:01,14.88,0.9300003,6.6666694,14.93,15.97,14.2,1320480
"OLN",2020-04-09 16:02:00,15.1,1.6500006,12.267663,13.87,15.385,13.75,3686451
"OEC",2020-04-09 16:02:00,8.81,1.1200004,14.564374,7.96,9.16,7.94,1635957
"PLTYF",2020-04-03 11:34:46,7,0,0,7,7,7,400
"SINC",2020-03-02 14:04:57,1,0,0,1,1,1,3
"SHI",2020-04-09 16:02:00,25.13,-0.12000084,-0.47525084,25.55,25.74,25.07,81019
"TANH",2020-04-09 15:04:46,1.04,0.034999967,3.482584,0.992,1.04,0.96505,8844
"TREC",2020-04-09 16:02:00,5.03,0.59000015,13.288292,4.61,5.055,4.61,32409
"TG",2020-04-09 16:02:00,15.22,0.4499998,3.0467148,15.17,15.45,14.55,143690
"TSE",2020-04-09 16:02:00,22.19,1.4099998,6.78537,21.16,22.675,21.04,482136
"TROX",2020-04-09 16:02:00,5.74,0.39999962,7.4906297,5.59,5.94,5.5,1362452
"VVV",2020-04-09 16:02:00,14.1,0.40000057,2.9197123,14.04,14.88,13.895,2213721
"WLK",2020-04-09 16:02:00,45.61,3.7400017,8.932414,43.97,47.19,42.79,1438015
"WLKP",2020-04-09 16:02:00,16.23,0.47999954,3.0476162,15.84,16.84,15.77,47832
