company,symbol
"Exelon Corporation",EXC
"American Electric Power",AEP
"Atmos Energy Corporation",ATO
"CenterPoint Energy, Inc.",CNP
"Hawaiian Electric Industries, Inc.",HE
"Otter Tail Corporation",OTTR
"Alliant Energy Corporation",LNT
"NW Natural Gas",NWN
"El Paso Electric",EE
"York Water Co",YORW
"DTE Energy Company",DTE
"National Fuel Gas Co.",NFG
"PG&E Corporation",PCG
"Portland General Electric Company",POR
"Sempra Energy",SRE
"PNM Resources, Inc.",PNM
"Avista Corporation",AVA
"Consolidated Edison, Inc.",ED
"MGE Energy, Inc.",MGEE
"NextEra Energy, Inc.",NEE
"Unitil Corporation",UTL
"Duke Energy Corporation",DUK
"Artesian Resources Corporation",ARTNA
"California Water Service Group",CWT
"Avangrid (formerly UIL)",AGR
"MDU Resources Group, Inc.",MDU
"PPL Corporation",PPL
"RGC Resources Inc.",RGCO
"ALLETE, Inc.",ALE
"American States Water Company",AWR
"American Water Works Co., Inc.",AWK
"Black Hills Corporation",BKH
"Entergy Corporation",ETR
"Essential (Aqua America)",WTRG
"FirstEnergy Corp.",FE
"Middlesex Water Company",MSEX
"Pinnacle West Capital Corporation",PNW
"SJW Corp.",SJW
"Southwest Gas Corporation",SWX
"WEC Energy Group",WEC
Evergy,EVRG
"Xcel Energy Inc.",XEL
"NISource Inc.",NI
"Dominion Resources, Inc.",D
"CMS Energy Corporation",CMS
"TransCanada Corporation (USA)",TRP
"TransAlta Corporation (Canada)",TAC
"Atlantic Power (Monthly Pay)",AT
"OGE Energy Corp",OGE
"Edison International",EIX
Eversource,ES
"NorthWestern Energy",NWE
"IDACORP, Inc.",IDA
"Ameren Corporation",AEE
"Public Service Enterprise Group Inc.",PEG
"New Jersey Resources Corporation",NJR
"Spire (formerly Laclede)",SR
"Chesapeake Utilities Corporation",CPK
"South Jersey Industries",SJI
"The Southern Company",SO
"Consolidated Water",CWCO
"Just Energy Group",JE
